extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,interactions,launches,screen_time_min,user_id,youtube_comments,youtube_likes,youtube_views
68.72,38.66,46.13,59.78,23.69,68.18,38.01,54.24,57.87,56.45,40.05,43,64.95,2,2,45.77,1023,2325.5,12928.5,249747
43.6,42.83,58.09,52.93,55.6,51.42,38.98,68.09,44.7,57.22,52.17,46.12,46.44,6,0,29.9,1044,2325.5,12928.5,249747
58.13,48.27,53.78,49.11,60.04,32.79,44.58,50.33,41.65,40.08,62.89,54.56,73.08,3,0,59.13,1076,2325.5,12928.5,249747
78.62,52.18,39.77,46.24,36.44,46.88,43.62,81.41,39.89,60.37,53.87,48.16,70.89,5,1,4.85,1020,2325.5,12928.5,249747
50.88,49.7,56.4,69.86,64.81,44.97,47.91,55.15,45.54,41.63,51.59,40.46,61.29,5,2,20.25,1047,2325.5,12928.5,249747
23.09,56.02,51.08,61.53,42.15,52.49,55.54,51.7,51.07,57.88,41.9,38.12,36.57,4,1,38.76,1005,2325.5,12928.5,249747
54.13,54.11,52.88,45.06,53.8,43.31,67.71,51.54,60.69,53.42,36.12,50.24,51.82,3,2,102.75,1055,2325.5,12928.5,249747
43.14,44.85,64.4,56.79,47.97,38.99,35.92,31.7,55.68,62.01,50.01,48.98,43.82,3,1,73.66,1095,2325.5,12928.5,249747
37.95,46.87,65.38,58.64,49.78,51.76,65.26,59.79,38.76,48.09,61.19,71.86,40.52,6,1,45.09,1034,2325.5,12928.5,249747
61.54,55.03,40.32,43.2,75.51,45.33,59.33,40.85,58.35,51.31,55.1,77.67,47.4,9,4,31.55,1084,2325.5,12928.5,249747
53.7,68.75,56.27,53.84,54.21,61.15,41.28,45.56,54.07,59.05,47.88,54.77,68.88,5,1,13.49,1001,2325.5,12928.5,249747
56.76,53.8,50.18,58.58,40.26,67.95,48.79,39.44,55.36,40.63,58.28,38.88,51.69,5,5,21.91,1018,2325.5,12928.5,249747
54.02,52.72,42.96,58.76,61.36,53.23,42.5,59.13,41.45,54.3,42.36,34.75,65.2,4,0,17.06,1079,2325.5,12928.5,249747
54.34,45.61,59.94,45.35,56.1,63.96,64.57,38.35,53.38,48.93,65.01,77.92,68.82,7,1,33.67,1071,2325.5,12928.5,249747
60.22,60.84,58.07,43.29,60.9,49.82,50.45,54.89,48.31,38.77,66.04,54.27,36.58,9,4,5.75,1022,2325.5,12928.5,249747
46.24,50.56,68.2,33.85,56.72,46.71,41.14,33.46,43.54,50.28,37.89,68.53,54.52,5,0,3.32,1078,2325.5,12928.5,249747
63.12,56.81,54.69,48.43,41.7,28.42,48.77,56.67,41.41,59.54,33.11,53.86,49.97,4,3,9.39,1021,2325.5,12928.5,249747
42.64,54.29,52.53,39.17,37.7,43.68,46.89,47.49,44.5,60.36,54.5,45.53,41.61,3,0,18.12,1095,2325.5,12928.5,249747
48,57.74,60.24,43.68,50.84,47.32,54.08,56.38,56.68,40.6,54.83,58.33,35.92,4,5,2.91,1019,2325.5,12928.5,249747
53.14,51.68,47.87,46.15,49.13,67.33,45.59,48.19,58.83,54.39,56.74,47.41,49.65,5,1,16.11,1022,2325.5,12928.5,249747
70.35,52.51,42.96,53.53,57.03,49.3,69.5,50.75,44.71,33.07,62.01,44.39,50.84,4,1,20.22,1071,2325.5,12928.5,249747
61.76,51.8,53.44,50.5,41.12,41.53,45.75,54.15,57.29,62.84,51.84,62.78,57.89,4,3,24.14,1023,2325.5,12928.5,249747
51.51,51.98,77.06,51.3,41.13,48.58,79.11,47.75,40.75,41.68,65.27,41.91,60.72,3,0,0.67,1034,2325.5,12928.5,249747
41.72,45.73,47.96,62.21,73.09,40.59,56.27,44.79,41.64,64.89,41.83,54.06,49.56,5,0,37.65,1020,7279,30195,494839
58.22,61.08,49.97,50.26,43.45,51.03,64.78,48.1,57.85,38.14,59.3,32.43,34.08,8,0,24.88,1017,2325.5,12928.5,249747
57.14,57.34,64.57,52.72,32.44,58.42,40.95,49.83,34.4,58.76,60.65,38.41,31.25,2,2,25.82,1077,2325.5,12928.5,249747
39.29,43.26,30.9,39.91,56.08,51.47,40.94,47.33,55.98,38.94,61.52,45.85,37.43,5,4,3.5,1068,2325.5,12928.5,249747
59.64,48.34,58.5,31.37,63.64,47.64,38.74,45.11,56.16,48.37,63.27,43.96,44.28,5,1,55.3,1090,2325.5,12928.5,249747
58.19,49.61,45.49,47.2,42.89,40.44,47.54,53.83,56.62,35.95,43,48.89,59.41,6,1,28.41,1029,2325.5,12928.5,249747
37.38,35.85,61.62,47.6,37.55,52.57,54.49,49.42,38.3,59.16,59.52,46.27,44.26,6,3,13.93,1057,2325.5,12928.5,249747
49.01,73.59,45,51.87,48.32,45.52,61.14,45.17,60.3,60.12,50.54,24.92,50.3,4,2,14.09,1007,2325.5,12928.5,249747
44.9,76.87,59.43,41.36,29.1,51.49,56.95,50.69,58.17,66.41,51.68,29.82,40.53,5,4,2.2,1069,2325.5,12928.5,249747
42.53,40.25,52.76,49.49,48.64,50.23,46.52,68.99,51.44,45.35,49.38,39.5,23.45,8,1,47.31,1091,2325.5,12928.5,249747
39.51,51.73,42.7,56.75,57.48,53.49,63.86,51.36,46.04,35.82,57.89,22.89,42.27,7,3,6.15,1072,2325.5,12928.5,249747
38.7,47.08,42.75,59.56,57.02,44.7,64.83,46.25,34.81,47.99,47.56,49.46,52.02,4,2,4.7,1054,2325.5,12928.5,249747
56.37,58.99,32.13,47.06,34.17,48.65,47.76,45.19,61.96,41.11,33.99,48.05,65.39,3,1,61.13,1081,2325.5,12928.5,249747
53.61,52.33,59.84,43.09,68.49,35.65,45.22,70.41,34.11,50.82,40.8,55.27,44.06,6,3,15.05,1095,2325.5,12928.5,249747
44.14,58.7,55.56,50.6,36.92,49.82,44.93,56.62,51.79,58.31,65.19,41.71,49.52,9,1,39.93,1073,2325.5,12928.5,249747
64.13,59.94,43.2,55.18,46.67,57.13,52.56,50.52,58.69,47.36,59.76,24.28,44.95,6,0,4.18,1001,2325.5,12928.5,249747
58.81,38.04,58,16.69,43.5,70.01,54.89,53.75,45.96,60.32,56.49,41.39,54.49,3,1,25.36,1025,2325.5,12928.5,249747
50.35,48.12,40.77,44.5,46.02,47.83,50.85,56.11,60.06,46.2,50.64,53.2,34.39,4,3,40.04,1067,368,1229,34176
40.3,68.64,42.33,42.71,54.57,63.27,48.33,70.01,56.82,50.45,38.96,35.87,48.17,2,3,8.92,1099,2325.5,12928.5,249747
60.15,50.08,36.17,32.61,59.05,49.64,46.14,58.34,47.12,39.97,50.33,47.25,67.76,4,2,9.01,1029,2325.5,12928.5,249747
51.52,48.89,47.53,51.57,53.71,58.6,44.9,61.1,52.16,49.4,53.06,78.76,52.7,7,4,14.9,1023,2325.5,12928.5,249747
48.25,38.1,54.26,55.88,61.36,49.09,51.56,66.83,54.71,47.86,45.83,48.17,56.71,3,3,19.98,1005,2325.5,12928.5,249747
49.25,61.21,46.2,44.49,61.54,60.3,36.97,59.44,65.18,58.89,46.82,69.82,58.11,3,0,12.25,1045,2325.5,12928.5,249747
55.53,38.35,46.7,39.41,58.48,43.16,30.56,47.31,48.96,57.32,40.88,49.61,58.57,4,3,36.94,1037,2325.5,12928.5,249747
45.09,58.65,45.58,42.88,56,65.89,58.73,43.05,42.62,49.46,48.75,55.2,38.55,5,5,22.17,1007,2325.5,12928.5,249747
42,47.18,66.27,46.84,55.63,34.63,41.07,53.83,55.19,49.06,43.12,59.85,36.59,5,1,24.13,1029,2325.5,12928.5,249747
27.67,33.72,53.71,63.97,43.54,36.05,47.97,43.63,31.65,41.39,57.75,43.98,51.82,7,3,5.21,1026,2325.5,12928.5,249747
56.56,42.2,36.89,36.29,53.71,32.47,56.19,44.15,50.27,40.92,38.08,40.19,64.89,5,1,12.18,1009,2325.5,12928.5,249747
50.56,55.37,42.97,53.88,55.47,56.32,46.4,48.54,50.01,59.24,35.5,55.05,50.1,3,2,2.42,1021,2325.5,12928.5,249747
57.78,43.92,41.53,53.23,41.76,63.54,41.8,58.74,36.53,35.16,44.54,55,41.64,8,3,19.55,1076,2325.5,12928.5,249747
39.3,29.37,62.87,38.14,43.77,47.78,61.46,52.27,39.54,65.2,45.93,49.52,52.35,3,1,67.2,1005,2325.5,12928.5,249747
55.31,38.08,40.32,54.27,47.45,63.81,44.7,58.21,52.97,61.24,20.04,46.04,59.06,3,3,63.36,1050,2325.5,12928.5,249747
43.33,57.54,56.53,56.4,72.3,61.5,48.17,67.77,34.65,37.09,33.32,55.88,49.58,4,3,93.37,1065,2325.5,12928.5,249747
45.1,29.66,24.56,43.37,46.77,52.67,60.7,41.81,38.76,41.75,47.45,61.67,44.13,5,2,36.46,1098,2325.5,12928.5,249747
50.08,64.81,56.47,33.08,57.31,52.76,55.82,51.38,38.88,32.19,53.17,50.76,45.88,5,1,20.34,1047,2325.5,12928.5,249747
55.48,42.18,57.01,39.22,47.65,66.92,43.51,52.99,58.54,49.25,57.95,47.57,39.31,5,1,60.67,1066,2325.5,12928.5,249747
61.09,58.79,31.98,52.54,63.64,55.02,63.34,43.15,51.44,60.57,54.85,57.34,69.68,4,0,22.23,1090,2325.5,12928.5,249747
41.96,62.19,47.44,55.7,49.41,63.64,43.35,47.55,56.17,63.96,53.72,41.07,49.76,1,2,11.81,1073,2325.5,12928.5,249747
37.07,54.78,50.46,56.6,59.58,41.44,56.74,59.98,46.9,45.69,40.81,47.81,60.6,2,1,90.65,1000,2325.5,12928.5,249747
37.29,42.61,46.32,59.81,44.83,47.68,66.62,34.52,45.11,44.69,55.86,50.88,37.46,5,2,12.73,1045,2325.5,12928.5,249747
39,49.37,42.86,49.81,52.55,75.24,60.58,55.53,56.58,56.82,73.44,48.32,53.26,6,3,0.6,1033,2325.5,12928.5,249747
57.32,44.97,47.75,52.33,41.24,49.84,42.93,51.68,56.11,28.21,48.42,56.62,44.54,2,2,37.56,1050,2325.5,12928.5,249747
53.76,65.92,59.46,52.54,46.63,62.89,65.52,44.51,61.63,55.59,35.43,31.65,62.19,5,1,19.16,1079,2325.5,12928.5,249747
40.27,61.16,50.33,47.99,56.48,37.37,43.65,56.79,55.4,39.42,29.26,58.72,55.61,5,1,29.16,1023,2325.5,12928.5,249747
55.35,41.68,61.59,45.63,47.62,60.59,45.41,52.11,42.47,44.97,45.1,38.68,63.12,3,1,23.92,1023,5843,11989,384180
27.27,42.8,38.87,62.52,61.73,59.14,50.79,48.18,34.09,62.1,60.35,43.6,65.1,5,6,6.34,1053,2325.5,12928.5,249747
48.02,46.88,40.96,39.75,44.74,43.05,53.25,39.65,34.94,63.28,35.27,65.51,42.29,9,2,98.93,1018,2325.5,12928.5,249747
46.93,46.99,60.23,54.06,48.52,59.43,43.88,31.9,62.08,30.24,38.55,62.16,48.15,7,1,61.78,1079,2325.5,12928.5,249747
28.02,55.86,37.98,38.24,48.5,33.6,55.58,49.29,42.38,34.84,48.51,28.83,44.14,4,0,10.34,1042,2325.5,12928.5,249747
55.62,54.01,69.8,49.18,47.74,66.44,48.58,60.17,48.26,63.86,41.98,34.03,53.34,7,1,168.18,1009,2325.5,12928.5,249747
32.37,59.42,51.28,67.09,49.37,46.86,58.51,56.93,60.89,62.44,36.61,50.88,47.16,9,3,15.97,1008,2325.5,12928.5,249747
39.04,42.05,56.45,39.21,45.29,46.89,41.35,59.72,57.24,59.26,48.89,36.02,36.14,3,2,7.09,1026,2325.5,12928.5,249747
40.04,60.62,44.89,42.91,45.71,48.13,58.38,38.83,53.69,51.44,66.6,55.18,50.32,1,4,12.26,1021,2325.5,12928.5,249747
48.56,57.63,41.11,64.97,49.88,47.5,55.37,53.64,50.66,45.02,35.09,57.28,57.23,3,0,11.29,1056,2325.5,12928.5,249747
40.56,51.31,64.23,76.33,48.71,56.78,62.24,35.35,44.32,43.81,66.48,34.41,43.43,7,2,1.91,1027,2325.5,12928.5,249747
69,55.67,59.58,47.14,54.41,41.89,56.04,35.81,45.9,61.74,34.5,52.69,35.32,3,0,10.48,1062,2325.5,12928.5,249747
54.66,46.31,50.05,52.8,44.18,47.72,30.38,74.08,39.71,70.28,62.1,38.99,43.06,6,1,8.72,1038,2325.5,12928.5,249747
57.94,50.76,52.75,65.77,58.66,48.11,63.58,42.42,51.4,69.05,53.57,48.84,33.02,9,0,41.16,1060,2325.5,12928.5,249747
42.05,50.11,46.75,64.08,42.85,48.76,42.63,46.41,52.61,54.77,55.56,52.6,55.8,1,2,9.11,1039,2325.5,12928.5,249747
52.4,36.21,50.91,66.31,58.2,50.63,48.98,50.02,59.96,42.77,48.81,60.19,55.86,7,2,1.87,1025,2325.5,12928.5,249747
51.08,58.58,37.84,46.81,33.46,50.66,49.26,43.09,43.28,38.45,33.08,54.64,43.32,6,0,60.32,1097,2325.5,12928.5,249747
41.77,56.64,68.07,56.92,47.66,26.23,46.54,42.51,33.58,53.19,56.34,51.89,52.64,5,1,18.48,1094,2325.5,12928.5,249747
39.02,58.67,39.12,38.23,51.91,47.73,57.67,54.87,41.68,57.97,38.65,60.41,52.62,10,1,102.61,1067,2325.5,12928.5,249747
56.32,39.89,49.74,54.31,56.36,52.08,46.28,47.56,62.99,34.22,48.96,57.58,51.47,2,0,8.23,1098,2325.5,12928.5,249747
